,atomic_distance,energy
0,0.42810412155092475,-268.74295231833963
1,0.642156182326387,-275.6879908415495
2,0.8562082431018497,-277.93070230340453
3,1.070260303877312,-278.54586934079543
4,1.284312364652774,-278.77902624543236
5,1.4983644254282364,-279.0140949752101
6,1.7124164862036988,-279.02988842668094
7,1.9264685469791614,-279.0245839109333
8,2.1405206077546235,-279.01508075407696
9,2.3545726685300865,-279.00830451831
10,2.5686247293055486,-279.0043720100212
11,2.782676790081011,-279.0019497362116
12,2.9967288508564733,-279.0003552382629
13,3.210780911631936,-278.9993006316324
14,3.424832972407398,-278.9986092011572
15,3.63888503318286,-278.9981520370877
16,3.8529370939583223,-278.99784111409315
17,4.066989154733785,-278.99762187536567
18,4.281041215509248,-278.9974618644559
19,4.4950932762847104,-278.9973417586817
20,4.709145337060172,-278.99724976784205
21,4.923197397835635,-278.99717780327387
22,5.137249458611097,-278.9971215384248
23,5.35130151938656,-278.99707678856157
24,5.565353580162022,-278.99704087114975
25,5.779405640937484,-278.997011820198
